,기업명,구인정보
0,롯데이노베이트㈜,[AI CRM팀] AI서비스 기획_스크랩_경력3년↑_대졸↑_정규직_서울 금천구_D-5_#육아휴직_#4대보험_#출산휴가_#경조사 지원_외 4건_즉시지원
1,휴먼교육센터,[국비무료/기숙사무료] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공)_스크랩_신입·경력_학력무관_연수생/교육생_서울 영등포구 외_D-3_즉시지원
2,㈜앱메이드,"금융,공공,일반기업 운영개발[SM,SI]_스크랩_경력1년↑_초대졸↑_정규직 외_서울 강남구_상시채용_즉시지원"
3,㈜에이든랩,"웹개발자 (Python/Django 백엔드) 글로벌 빅데이터 마케팅 플랫폼(신입, 경력)_스크랩_경력1년↑_초대졸↑_정규직_서울 마포구_D-51_#4대보험_#경조사 지원_#업무활동비 지원_#워케이션_외 3건_즉시지원"
4,아이클로,아이클로 파이썬기반 백엔드 개발자 구인_스크랩_경력2년↑_학력무관_정규직_서울 강서구_오늘마감_즉시지원
5,한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템_스크랩_신입·경력_고졸↑_연수생/교육생_서울_D-5_즉시지원
6,핫셀러,"강소기업_[핫셀러] 개발 직군 신입/경력 채용 (백엔드, 플러터)_스크랩_신입·경력_학력무관_정규직_서울 동대문구_D-19_홈페이지 지원"
7,핫셀러,강소기업_[머니쿤] 앱테크/체험단 서비스 기획자 채용 (경력)_스크랩_경력3년↑_학력무관_정규직_서울 동대문구_상시채용_#웰컴키트_#식사 지원_#명절선물/명절상여 지원_#휴가제도_외 4건_홈페이지 지원
8,㈜코드랩이앤티,(빅데이터/AI/파이썬/자바/C#/PLC/유니티) 멘토(훈련보조강사) 채용_스크랩_경력무관_대졸↑_정규직 외_서울 금천구_D-27_즉시지원
9,㈜우리인재개발원,자바 / 파이썬 국기과정 훈련교사 모집_스크랩_경력1년↑_대졸↑_계약직_경기 부천시_D-26_즉시지원
10,㈜원티드랩,강소기업_[원티드긱스] (양재역) 인공지능솔루션 백엔드 개발_스크랩_경력5년↑_학력무관_프리랜서_서울 강남구 외_D-7_즉시지원
11,㈜한국미용데이터,"파이썬(Python, AWS) 경력 개발자 채용_스크랩_경력1년↑_학력무관_정규직_서울 관악구_D-26_#4대보험_#자유로운 연차 사용_#명절선물/명절상여 지원_#경조사 지원_외 1건_즉시지원"
12,㈜오너클랜,"[자율출근]개발자 파격대우 경력자 typescript, nodejs, MySQL_스크랩_경력2년↑_대졸↑_정규직 외_서울 서초구_D-21_#명절선물/명절상여 지원_#휴가제도_#문화생활비 지원_#유연근무_외 3건_즉시지원"
13,㈜베스티아소프트,"10448. (긴급) JAVA, MIPLATFORM 해운사 장기운영 - SM_스크랩_경력무관_학력무관_정규직 외_인천 연수구 외_D-20_#건강보험_#아침 식사 지원_#자율복장_즉시지원"
14,㈜베스티아소프트,10444. JAVA 금융권개발 및 운영 - SI-SM_스크랩_경력무관_학력무관_정규직 외_인천 연수구_D-20_#건강보험_#아침 식사 지원_#자율복장_즉시지원
15,연희직업전문학교㈜,"[베스트직업훈련기관] 자바, 파이썬, AI, AWS, 앱 웹개발 강사분을 모십니다_스크랩_경력3년↑_학력무관_프리랜서_인천 서구_D-19_즉시지원"
16,㈜글로벌아이티정보기술,[전액무료IT개발자취업준비생모집]프론트엔드/백엔드/풀스택/빅데이터개발자/클라우드엔지니어_스크랩_신입_학력무관_연수생/교육생_서울 관악구_상시채용_즉시지원
17,㈜에이아이스페라,AI Spera [석사병역특례] 개발자 / 엔지니어 부문별 채용_스크랩_신입_석사↑_병역특례_서울 성동구_D-42_즉시지원
18,오토패스,"파이썬(Python, AWS, OCR) 신입, 경력 개발자 채용_스크랩_신입·경력1년↑_학력무관_정규직_경기 파주시_D-12_즉시지원"
19,토피아정보기술㈜,3. 은행/보험/증권/카드/기획/디자인/퍼블리셔/ABAP/SAP//DW/PMO/TA/DA/DBA/C#.NET/Java/C C++_스크랩_경력3년↑_학력무관_정규직 외_서울 금천구_D-1_즉시지원
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
